 inst#     actual  predicted error distribution (ID)
   326        2:1        2:1       0.2,*0.7,0.1 (15253)
   327        2:1        2:1       0,*0.8,0.2 (20109)
   328        2:1        2:1       0.1,*0.9,0 (11923)
   329        2:1        2:1       0.1,*0.8,0.1 (9162)
   330        2:1        1:2   +   *0.4,0.2,0.4 (5315)
   331        2:1        2:1       0.1,*0.8,0.1 (8003)
   332        2:1        2:1       0,*1,0 (2312)
   333        2:1        2:1       0.2,*0.7,0.1 (10833)
   334        2:1        2:1       0.1,*0.9,0 (17326)
   335        2:1        2:1       0,*1,0 (18681)
   336        2:1        2:1       0,*0.9,0.1 (405)
   337        2:1        2:1       0.1,*0.9,0 (10126)
   338        2:1        2:1       0,*1,0 (17180)
   339        2:1        2:1       0.2,*0.8,0 (9810)
   340        2:1        2:1       0.1,*0.9,0 (10649)
   341        2:1        2:1       0,*1,0 (16590)
   342        2:1        2:1       0,*1,0 (17380)
   343        2:1        2:1       0.1,*0.8,0.1 (37)
   344        2:1        2:1       0,*0.7,0.3 (18869)
   345        2:1        2:1       0,*0.9,0.1 (6363)
   346        2:1        2:1       0,*1,0 (12505)
   347        2:1        2:1       0,*1,0 (1137)
   348        2:1        2:1       0,*1,0 (12289)
   349        2:1        2:1       0.3,*0.6,0.1 (1308)
   350        2:1        2:1       0,*0.9,0.1 (1499)
   351        2:1        3:0   +   0.3,0.3,*0.4 (5965)
   352        2:1        2:1       0,*0.9,0.1 (17890)
   353        2:1        2:1       0.3,*0.5,0.2 (14373)
   354        2:1        2:1       0.1,*0.6,0.3 (18244)
   355        2:1        2:1       0,*1,0 (618)
   356        2:1        2:1       0,*1,0 (12483)
   357        2:1        2:1       0.1,*0.6,0.3 (13208)
   358        2:1        2:1       0,*1,0 (15246)
   359        2:1        2:1       0.1,*0.8,0.1 (6040)
   360        2:1        2:1       0,*1,0 (11570)
   361        2:1        2:1       0,*0.9,0.1 (18321)
   362        2:1        2:1       0.2,*0.8,0 (15955)
   363        2:1        2:1       0,*1,0 (7728)
   364        2:1        2:1       0,*0.9,0.1 (20039)
   365        2:1        2:1       0,*1,0 (7616)
   366        2:1        2:1       0.1,*0.7,0.2 (10525)
   367        2:1        2:1       0.1,*0.9,0 (6737)
   368        2:1        2:1       0.3,*0.5,0.2 (14888)
   369        2:1        2:1       0,*1,0 (16205)
   370        2:1        2:1       0.1,*0.8,0.1 (17794)
   371        2:1        2:1       0,*0.9,0.1 (11582)
   372        2:1        2:1       0,*1,0 (14737)
   373        2:1        2:1       0,*1,0 (12602)
   374        2:1        2:1       0,*1,0 (12636)
   375        2:1        2:1       0,*1,0 (4060)
   376        2:1        2:1       0,*1,0 (4282)
   377        2:1        2:1       0.1,*0.8,0.1 (18352)
   378        2:1        2:1       0.1,*0.9,0 (2474)
   379        2:1        2:1       0,*0.9,0.1 (8969)
   380        2:1        2:1       0,*1,0 (14817)
   381        2:1        2:1       0.1,*0.9,0 (1549)
   382        2:1        2:1       0.2,*0.7,0.1 (6605)
   383        2:1        2:1       0,*0.8,0.2 (5511)
   384        2:1        2:1       0.4,*0.5,0.1 (381)
   385        2:1        2:1       0.1,*0.8,0.1 (19939)
   386        2:1        2:1       0.1,*0.5,0.4 (17179)
   387        2:1        2:1       0,*1,0 (13031)
   388        2:1        2:1       0,*1,0 (12043)
   389        2:1        2:1       0,*0.9,0.1 (19592)
   390        2:1        2:1       0,*0.6,0.4 (7498)
   391        2:1        2:1       0.1,*0.9,0 (2117)
   392        2:1        2:1       0.1,*0.9,0 (8179)
   393        2:1        2:1       0,*0.9,0.1 (9624)
   394        2:1        2:1       0,*0.9,0.1 (3827)
   395        2:1        2:1       0.2,*0.6,0.2 (12042)
   396        2:1        2:1       0,*0.9,0.1 (15003)
   397        2:1        2:1       0.1,*0.8,0.1 (2953)
   398        2:1        2:1       0.1,*0.9,0 (2709)
   399        2:1        2:1       0,*0.8,0.2 (5013)
   400        2:1        2:1       0.2,*0.5,0.3 (6352)
   401        2:1        2:1       0.1,*0.9,0 (8099)
   402        2:1        2:1       0.2,*0.8,0 (14231)
   403        2:1        1:2   +   *0.4,0.2,0.4 (5301)
   404        2:1        2:1       0.1,*0.8,0.1 (19784)
   405        2:1        1:2   +   *0.4,0.3,0.3 (5742)
   406        2:1        2:1       0,*0.9,0.1 (999)
   407        2:1        3:0   +   0,0.4,*0.6 (2726)
   408        2:1        2:1       0,*1,0 (19869)
   409        2:1        2:1       0,*1,0 (2166)
   410        2:1        2:1       0.1,*0.9,0 (18750)
   411        2:1        2:1       0,*1,0 (17441)
   412        2:1        1:2   +   *0.6,0.1,0.3 (3011)
   413        2:1        2:1       0.1,*0.9,0 (150)
   414        2:1        2:1       0.1,*0.8,0.1 (16830)
   415        2:1        2:1       0,*1,0 (2639)
   416        2:1        2:1       0.2,*0.5,0.3 (18607)
   417        2:1        2:1       0,*1,0 (686)
   418        2:1        2:1       0,*1,0 (1658)
   419        2:1        2:1       0.1,*0.9,0 (19687)
   420        2:1        2:1       0.3,*0.7,0 (16773)
   421        2:1        2:1       0,*0.6,0.4 (6803)
   422        2:1        2:1       0.1,*0.9,0 (5763)
   423        2:1        2:1       0.3,*0.7,0 (13083)
   424        2:1        2:1       0,*1,0 (9298)
   425        2:1        3:0   +   0.1,0.4,*0.5 (5888)
   426        2:1        2:1       0.2,*0.8,0 (6262)
   427        2:1        2:1       0.1,*0.8,0.1 (15084)
   428        2:1        2:1       0.1,*0.8,0.1 (18409)
   429        2:1        2:1       0,*1,0 (19007)
   430        2:1        2:1       0.4,*0.6,0 (12171)
   431        2:1        2:1       0.1,*0.8,0.1 (1843)
